Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
50,ATL,James Ennis,"California State University, Long Beach",5,266,5505,1720,826,235,0.457,0.358,0.8,20.7,6.5,3.1,0.9,11,0.096,-0.6,1.9
51,ORL,Romero Osby,University of Oklahoma,,,,,,,,,,,,,,,,,
52,MIN,Lorenzo Brown,North Carolina State University,5,103,1185,293,151,183,0.364,0.17,0.707,11.5,2.8,1.5,1.8,-0.2,-0.007,-4,-0.6
53,IND,Colton Iverson,Colorado State University,,,,,,,,,,,,,,,,,
54,WAS,Arsalan Kazemi,University of Oregon,,,,,,,,,,,,,,,,,
55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,0.479,0.285,0.719,13.6,5.6,3.8,0.9,5.2,0.089,-2.6,-0.4
56,DET,Peyton Siva,University of Louisville,1,24,224,54,14,34,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-7.3,-0.3
57,PHO,Alex Oriakhi,University of Missouri,,,,,,,,,,,,,,,,,
58,SAS,Deshaun Thomas,Ohio State University,,,,,,,,,,,,,,,,,
59,MIN,Bojan Dubljevic,,,,,,,,,,,,,,,,,,
60,MEM,Janis Timma,,,,,,,,,,,,,,,,,,
1,NOH,Anthony Davis,University of Kentucky,7,458,15937,10928,4835,961,0.517,0.311,0.796,34.8,23.9,10.6,2.1,71.5,0.215,4.8,27.2
