,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
193,14,OKC,Cameron Payne,Murray State University,4.0,153.0,2454.0,914.0,274.0,382.0,0.397,0.331,0.775,16.0,6.0,1.8,2.5,2.3,0.045,-2.9,-0.5
194,15,ATL,Kelly Oubre,University of Kansas,4.0,283.0,6149.0,2548.0,1029.0,226.0,0.42,0.321,0.779,21.7,9.0,3.6,0.8,7.9,0.062,-2.4,-0.6
195,16,BOS,Terry Rozier,University of Louisville,4.0,253.0,5025.0,1916.0,912.0,587.0,0.377,0.355,0.787,19.9,7.6,3.6,2.3,9.5,0.09,-0.4,2.0
196,17,MIL,Rashad Vaughn,"University of Nevada, Las Vegas",3.0,139.0,1671.0,423.0,158.0,75.0,0.337,0.313,0.6920000000000001,12.0,3.0,1.1,0.5,-0.6,-0.017,-5.6,-1.5
197,18,HOU,Sam Dekker,University of Wisconsin,4.0,189.0,2907.0,1036.0,580.0,147.0,0.485,0.287,0.604,15.4,5.5,3.1,0.8,5.3,0.08800000000000001,-1.8,0.1
198,19,WAS,Jerian Grant,University of Notre Dame,4.0,263.0,4810.0,1618.0,512.0,779.0,0.41,0.317,0.775,18.3,6.2,1.9,3.0,7.9,0.079,-2.0,-0.1
199,20,TOR,Delon Wright,University of Utah,4.0,179.0,3195.0,1207.0,440.0,421.0,0.445,0.344,0.816,17.8,6.7,2.5,2.4,8.8,0.132,1.6,2.9
200,21,DAL,Justin Anderson,University of Virginia,4.0,200.0,2643.0,1066.0,515.0,132.0,0.41700000000000004,0.29,0.782,13.2,5.3,2.6,0.7,4.3,0.078,-1.9,0.1
201,22,CHI,Bobby Portis,University of Arkansas,4.0,228.0,4467.0,2252.0,1349.0,251.0,0.462,0.355,0.741,19.6,9.9,5.9,1.1,8.4,0.09,-1.8,0.2
202,23,POR,Rondae Hollis-Jefferson,University of Arizona,4.0,225.0,5402.0,2245.0,1331.0,449.0,0.444,0.228,0.742,24.0,10.0,5.9,2.0,8.9,0.079,-1.0,1.3
203,24,CLE,Tyus Jones,Duke University,4.0,227.0,3819.0,1053.0,330.0,698.0,0.413,0.32899999999999996,0.812,16.8,4.6,1.5,3.1,7.2,0.091,-1.2,0.7
204,25,MEM,Jarell Martin,Louisiana State University,4.0,174.0,2853.0,975.0,618.0,110.0,0.436,0.354,0.767,16.4,5.6,3.6,0.6,3.1,0.052000000000000005,-3.8,-1.3
205,26,SAS,Nikola Milutinov,,,,,,,,,,,17.52916666666667,6.433333333333333,2.7875,1.275,,0.07491666666666667,-2.1625,3.2875
206,27,LAL,Larry Nance Jr.,University of Wyoming,4.0,244.0,5486.0,1840.0,1552.0,380.0,0.54,0.28600000000000003,0.6920000000000001,22.5,7.5,6.4,1.6,15.2,0.133,2.0,5.5
207,28,BOS,R.J. Hunter,Georgia State University,3.0,44.0,369.0,116.0,43.0,16.0,0.361,0.282,0.889,8.4,2.6,1.0,0.4,0.3,0.039,-3.8,-0.2
208,29,BRK,Chris McCullough,Syracuse University,3.0,59.0,532.0,194.0,112.0,15.0,0.426,0.306,0.5479999999999999,9.0,3.3,1.9,0.3,0.6,0.054000000000000006,-2.3,0.0
209,30,GSW,Kevon Looney,"University of California, Los Angeles",4.0,186.0,2611.0,798.0,700.0,177.0,0.583,0.192,0.594,14.0,4.3,3.8,1.0,8.9,0.16399999999999998,2.0,2.6
210,31,MIN,Cedi Osman,,2.0,117.0,2435.0,972.0,384.0,174.0,0.449,0.355,0.7170000000000001,20.8,8.3,3.3,1.5,2.1,0.040999999999999995,-2.3,-0.2
211,32,HOU,Montrezl Harrell,University of Louisville,4.0,236.0,4390.0,2527.0,1002.0,270.0,0.637,0.115,0.621,18.6,10.7,4.2,1.1,17.6,0.193,2.6,5.1
212,33,BOS,Jordan Mickey,Louisiana State University,3.0,64.0,482.0,152.0,128.0,17.0,0.449,0.11800000000000001,0.605,7.5,2.4,2.0,0.3,0.5,0.05,-4.8,-0.3
213,34,LAL,Anthony Brown,Stanford University,3.0,41.0,762.0,161.0,103.0,28.0,0.32799999999999996,0.28600000000000003,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-4.8,-0.5
214,35,PHI,Willy Hernangomez,,3.0,165.0,2436.0,1161.0,934.0,170.0,0.53,0.386,0.69,14.8,7.0,5.7,1.0,7.1,0.14,0.0,1.2
215,36,MIN,Rakeem Christmas,Syracuse University,2.0,30.0,225.0,63.0,57.0,4.0,0.467,,0.7240000000000001,7.5,2.1,1.9,0.1,0.5,0.105,-4.0,-0.1
216,37,PHI,Richaun Holmes,Bowling Green State University,4.0,212.0,3566.0,1603.0,911.0,199.0,0.5710000000000001,0.257,0.698,16.8,7.6,4.3,0.9,11.6,0.157,1.3,3.0
217,38,DET,Darrun Hilliard,Villanova University,3.0,91.0,859.0,295.0,85.0,71.0,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-5.1,-0.7
218,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,15.2125,5.36875,2.08125,1.3624999999999998,,0.0640625,-2.90625,1.075
219,40,MIA,Josh Richardson,University of Tennessee,4.0,245.0,7466.0,2955.0,772.0,678.0,0.429,0.376,0.818,30.5,12.1,3.2,2.8,14.7,0.094,0.8,5.2
220,41,BRK,Pat Connaughton,University of Notre Dame,4.0,195.0,2642.0,809.0,377.0,206.0,0.424,0.33899999999999997,0.8,13.5,4.1,1.9,1.1,4.7,0.086,-1.3,0.5
221,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,17.533333333333335,6.316666666666666,2.655555555555556,1.5722222222222222,,0.04677777777777778,-2.8555555555555556,1.411111111111111
222,43,IND,Joseph Young,University of Oregon,3.0,127.0,1077.0,429.0,130.0,119.0,0.39299999999999996,0.29600000000000004,0.768,8.5,3.4,1.0,0.9,0.4,0.016,-5.3,-0.9
